#{"t_start": 1786633123.5641448, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-1678.653681,712,591.915169,False,False,True,False,False,0
-621.629255,459,597.05125,False,False,True,False,False,0
-846.522813,751,605.655142,False,False,True,False,False,0
-591.002776,390,610.254054,False,False,True,True,False,0
-607.484257,313,613.860086,False,False,True,True,False,0
-412.825138,182,615.809218,False,False,True,False,False,0
-1198.993569,396,620.510817,False,False,True,False,False,0
-752.566701,1315,636.27896,False,False,True,False,False,0
-878.738416,259,639.810086,False,False,True,False,False,0
-796.484305,382,644.338027,False,False,True,False,False,0
-537.888245,520,651.249414,False,False,True,False,False,0
-589.642134,324,654.979061,False,False,True,False,False,0
-1007.882034,551,661.535855,False,False,True,True,False,0
-499.375023,316,665.064378,False,False,True,True,False,0
-833.507043,463,670.480144,False,False,True,True,False,0
-1144.403486,476,676.088909,False,False,True,False,False,0
-534.971306,220,678.592221,False,False,True,False,False,0
-2026.648037,696,686.126775,False,False,True,True,False,0
-655.3908,359,690.089506,False,False,True,False,False,0
-1121.536825,851,699.613445,False,False,True,False,False,0
-951.987435,363,703.341845,False,False,True,False,False,0
-1033.063755,656,710.248433,False,False,True,False,False,0
-1021.734868,753,718.504092,False,False,True,False,False,0
-361.775784,234,720.977796,False,False,True,False,False,0
-1267.838316,433,725.664187,False,False,True,True,False,0
-810.569574,417,730.223102,False,False,True,False,False,0
-1497.80628,385,734.482198,False,False,True,False,False,0
-629.501601,505,739.790664,False,False,True,True,False,0
-1686.502427,648,746.872072,False,False,True,False,False,0
-426.094836,281,749.892472,False,False,True,False,False,0
-774.08243,283,753.362924,False,False,True,True,False,0
-641.265373,433,758.434609,False,False,True,False,False,0
-826.757009,391,763.326061,False,False,True,False,False,0
-344.488598,191,766.315242,False,False,True,False,False,0
-370.119285,533,772.733687,False,False,True,True,False,0
-744.584928,249,775.699829,False,False,True,False,False,0
-482.934793,298,779.046135,False,False,True,False,False,0
-1840.27329,635,786.420354,False,False,True,True,False,0
-708.673436,460,791.664838,False,False,True,False,False,0
-332.909042,167,793.570546,False,False,True,False,False,0
-1869.170753,690,801.413625,False,False,True,False,False,0
-209.34245,275,804.59262,False,False,True,False,False,0
-461.466356,356,808.709934,False,False,True,False,False,0
-423.065292,316,812.309519,False,False,True,False,False,0
-3181.322897,1415,829.122334,False,False,True,True,False,0
-337.571552,203,831.464969,False,False,True,False,False,0
-345.406531,247,834.270496,False,False,True,False,False,0
-1395.867731,407,838.921239,False,False,True,False,False,0
-395.986812,226,841.501773,False,False,True,False,False,0
-2017.814721,1041,853.847248,False,False,True,True,False,0
-650.052932,541,860.037408,False,False,True,True,False,0
-1582.511316,655,867.617601,False,False,True,False,False,0
-547.608153,356,871.608632,False,False,True,False,False,0
-878.039917,329,875.196331,False,False,True,False,False,0
-993.782344,415,882.506448,False,False,True,False,False,0
-447.740647,260,885.496225,False,False,True,False,False,0
-414.921687,208,887.931455,False,False,True,False,False,0
-1386.475563,616,895.005414,False,False,True,False,False,0
-493.660159,235,897.709492,False,False,True,False,False,0
-1290.046152,680,905.412237,False,False,True,False,False,0
-452.787327,258,908.360717,False,False,True,False,False,0
-767.487235,318,912.04184,False,False,True,False,False,0
-554.987414,264,915.138005,False,False,True,False,False,0
