#{"t_start": 1786500024.0283346, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-2288.548525,1255,1115.531601,False,False,True,False,False,1204,511,1104,790,warmup
-36.825848,666,1130.622057,False,False,True,False,False,623,417,576,22,warmup
-458.482028,593,1143.900687,False,False,True,False,False,450,300,486,317,warmup
-662.803913,839,1162.569929,False,False,True,False,False,735,467,695,370,warmup
-27.720416,780,1180.014768,False,False,True,False,False,490,602,463,25,warmup
-1015.414187,1628,1217.574549,False,False,True,False,False,1251,1271,1010,616,warmup
-25.355665,540,1230.007148,False,False,True,False,False,187,219,437,154,warmup
-400.768892,1286,1258.607307,False,False,True,False,False,1049,785,824,452,warmup
-74.500923,613,1272.636374,False,False,True,False,False,366,425,392,140,warmup
-23.64757,701,1288.660539,False,False,True,False,False,0,437,310,0,warmup
-33.173229,875,1308.700477,False,False,True,False,False,468,531,445,105,warmup
-123.814944,914,1329.346859,False,False,True,False,False,782,497,660,196,warmup
