#{"t_start": 1786302005.310393, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,attitude_success,position_success
-11.531198,2000,3090.45574,False,False,True,False,False,True
-8.215053,2000,3120.638,False,False,True,False,False,True
-14.081449,2000,3150.796731,False,False,True,False,False,True
-8.024088,2000,3181.175725,False,False,True,False,False,True
-6.357159,2000,3211.121438,False,False,True,False,False,True
-7.983138,2000,3241.423287,False,False,True,False,False,True
-6.788496,2000,3271.682926,False,False,True,False,False,True
-2.959119,1700,3297.472672,True,False,False,True,True,True
-0.666158,1410,3318.69945,True,False,False,True,True,True
-15.828032,2000,3348.483321,False,False,True,False,False,True
-13.010335,2000,3378.643888,False,False,True,False,False,True
-9.011943,2000,3409.085338,False,False,True,False,False,True
-52.699585,1134,3426.415942,False,True,False,False,False,False
-5.032012,2000,3456.853817,False,False,True,False,False,True
-4.41641,2000,3486.454907,False,False,True,False,False,True
-44.900275,2000,3516.28718,False,False,True,False,False,False
-7.060004,2000,3546.222162,False,False,True,False,False,True
-59.667302,1350,3566.69288,False,True,False,False,False,False
-11.625059,2000,3596.853113,False,False,True,False,False,True
-9.181372,2000,3626.758118,False,False,True,False,False,True
-3.431022,2000,3656.737059,False,False,True,False,False,True
-11.188948,2000,3687.034884,False,False,True,False,False,True
-4.014552,2000,3716.469682,False,False,True,False,False,True
-13.697491,2000,3746.640313,False,False,True,False,False,True
-12.801203,2000,3776.768303,False,False,True,False,False,True
-5.316978,2000,3806.739938,False,False,True,False,False,True
-5.780845,2000,3836.464394,False,False,True,False,False,True
-48.257733,2000,3866.447136,False,False,True,False,False,False
-74.027018,1843,3894.023169,False,True,False,False,False,False
-3.747613,2000,3924.028755,False,False,True,False,False,True
-8.837457,1863,3951.981051,True,False,False,True,True,True
-14.335192,2000,3983.402417,False,False,True,False,False,True
-8.731053,2000,4013.210482,False,False,True,False,False,True
-51.08788,1116,4030.283032,False,True,False,False,False,False
-50.345578,1232,4049.042648,False,True,False,False,False,False
-5.300462,1813,4076.141984,True,False,False,True,True,True
-8.003004,2000,4106.187556,False,False,True,False,False,True
-0.879739,1102,4122.846276,True,False,False,True,True,True
-16.445393,2000,4152.929653,False,False,True,False,False,True
-6.778429,2000,4183.074666,False,False,True,False,False,True
-8.93685,2000,4212.797925,False,False,True,False,False,True
-7.730461,2000,4242.961643,False,False,True,False,False,True
-5.439856,2000,4273.01069,False,False,True,False,False,True
