#{"t_start": 1786422801.8976715, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,curriculum_rotation_progress,curriculum_translation_progress,episode_shell_outer_m,episode_target_tumble_scale
-9.009877,2000,1921.436653,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.969212,852,1941.020714,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.692045,2000,1988.168645,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.953642,809,2006.343825,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
1.116286,295,2013.013616,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-29.188126,2000,2063.288741,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-7.825437,2000,2112.34036,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.509437,481,2124.032968,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.315716,482,2135.233226,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.004098,600,2150.011931,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-13.1101,1727,2190.361696,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.575213,571,2203.642712,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-6.562965,2000,2249.617593,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.634753,1261,2278.944473,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.804457,899,2300.896562,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.23331,643,2315.496697,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.313455,429,2326.236586,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.441637,535,2339.168164,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-11.104767,1224,2367.844146,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.249685,535,2379.967456,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.321479,1006,2405.226621,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.366845,1102,2432.093779,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.357986,802,2450.584597,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-17.103744,1898,2498.826801,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.875812,1005,2528.16339,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-10.164835,1264,2558.329899,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-26.729793,2000,2603.23322,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-55.528974,1269,2632.53696,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
0.450614,370,2641.627147,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.428944,703,2658.206133,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-13.504011,1213,2688.284603,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.735035,568,2702.343347,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.053741,644,2717.773762,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.374479,444,2728.812574,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.132618,398,2738.757728,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.460697,945,2761.706089,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-7.925169,1634,2798.396397,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-10.97372,1527,2832.603372,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-15.464628,2000,2877.313702,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-7.605404,1594,2913.363242,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
