#{"t_start": 1786527599.0895174, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-30.993972,447,1650.359488,False,False,True,False,False,229,355,346,95,warmup
-38.255968,552,1662.657089,False,False,True,False,False,475,491,479,504,warmup
-33.68314,479,1673.562365,False,False,True,False,False,416,226,422,68,warmup
-29.776757,528,1685.457078,False,False,True,False,False,317,0,430,0,warmup
-31.939138,456,1695.799998,False,False,True,False,False,309,383,402,0,warmup
-35.594521,423,1705.159985,False,False,True,False,False,299,214,367,324,warmup
-36.879357,599,1718.920341,False,False,True,False,False,503,293,471,274,warmup
-36.073438,582,1731.981181,False,False,True,False,False,384,274,490,331,warmup
-28.680276,508,1743.544577,False,False,True,False,False,393,268,452,0,warmup
-33.697953,795,1762.092747,False,False,True,False,False,255,519,547,145,warmup
-28.782423,400,1770.93856,False,False,True,False,False,130,306,277,0,warmup
-36.701011,520,1782.508944,False,False,True,False,False,370,306,447,365,warmup
-30.290535,364,1790.60941,False,False,True,False,False,256,182,282,0,warmup
-43.052012,698,1806.472906,False,False,True,False,False,608,438,584,417,warmup
-38.863436,621,1820.618272,False,False,True,False,False,544,519,555,538,warmup
-48.818911,1029,1843.837583,False,False,True,False,False,904,633,893,465,warmup
-32.612482,459,1854.164088,False,False,True,False,False,353,365,386,235,warmup
-45.215528,866,1874.316568,False,False,True,False,False,627,597,431,322,warmup
-60.553327,1116,1899.892984,False,False,True,False,False,980,965,1017,665,warmup
-43.760713,973,1922.091845,False,False,True,False,False,619,729,740,261,warmup
-48.093062,878,1942.138499,False,False,True,False,False,809,645,722,777,warmup
-31.863378,658,1956.767894,False,False,True,False,False,304,483,510,50,warmup
-54.316192,1037,1980.434947,False,False,True,False,False,971,825,837,546,warmup
-62.193533,1313,2010.349548,False,False,True,False,False,1244,1159,1113,687,warmup
-35.949817,465,2021.004015,False,False,True,False,False,378,377,404,406,warmup
-31.963529,373,2029.456736,False,False,True,False,False,262,178,317,188,warmup
-33.182047,459,2039.883306,False,False,True,False,False,356,279,376,361,warmup
-38.103384,511,2051.262741,False,False,True,False,False,415,449,443,468,warmup
-32.473329,429,2061.027914,False,False,True,False,False,345,377,348,107,warmup
-56.187967,1201,2088.331904,False,False,True,False,False,887,1012,1024,323,warmup
-38.068908,609,2101.951349,False,False,True,False,False,478,452,382,509,warmup
-29.430748,447,2112.111842,False,False,True,False,False,239,297,349,0,warmup
-34.200122,741,2128.906911,False,False,True,False,False,544,596,524,117,warmup
-37.595184,768,2146.3845,False,False,True,False,False,394,639,692,243,warmup
-49.222852,1002,2169.130872,False,False,True,False,False,906,876,884,736,warmup
-41.309224,766,2186.46559,False,False,True,False,False,705,645,587,367,warmup
-38.469863,1023,2210.965641,False,False,True,False,False,266,609,787,166,warmup
-35.113319,606,2224.548568,False,False,True,False,False,495,316,548,29,warmup
-31.411726,424,2233.965207,False,False,True,False,False,360,378,374,0,warmup
-29.466723,456,2244.4512,False,False,True,False,False,60,330,320,0,warmup
-32.719307,760,2261.751196,False,False,True,False,False,576,524,492,34,warmup
-45.404776,800,2280.302037,False,False,True,False,False,702,566,745,761,warmup
-34.802122,603,2293.960357,False,False,True,False,False,0,294,247,0,warmup
-28.991497,484,2304.706685,False,False,True,False,False,0,413,288,0,warmup
-51.241565,1023,2328.330045,False,False,True,False,False,896,897,563,718,warmup
-32.913012,412,2337.737492,False,False,True,False,False,313,298,296,53,warmup
-40.885776,690,2353.121254,False,False,True,False,False,605,434,599,416,warmup
-37.403962,561,2365.927664,False,False,True,False,False,418,401,454,467,warmup
-34.148208,531,2377.952101,False,False,True,False,False,423,340,377,154,warmup
-36.436403,490,2388.973647,False,False,True,False,False,412,424,384,367,warmup
-33.697635,505,2400.185616,False,False,True,False,False,403,383,438,407,warmup
-31.137052,411,2409.711032,False,False,True,False,False,305,0,349,144,warmup
-42.373381,876,2429.73592,False,False,True,False,False,691,620,706,520,warmup
