#{"t_start": 1786621830.1048653, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-88.124768,443,463.039704,False,False,True,True,False,0
-37.206629,644,469.700438,False,False,True,False,False,0
-81.442742,690,476.933632,False,False,True,False,False,0
-38.559948,446,481.624726,False,False,True,False,False,0
-17.360532,156,483.123847,False,False,True,False,False,0
-155.148611,1123,495.486864,False,False,True,False,False,0
-41.797148,178,497.343134,False,False,True,False,False,0
-17.41493,383,501.520004,False,False,True,False,False,0
-36.101006,503,543.178581,False,False,True,False,False,0
-27.042834,626,550.07425,False,False,True,False,False,0
-25.68947,203,552.206158,False,False,True,False,False,0
-18.920891,274,555.086356,False,False,True,False,False,0
-27.123889,102,556.164676,False,False,True,False,False,0
-32.079643,356,559.97823,False,False,True,False,False,0
-31.65713,408,564.203509,False,False,True,False,False,0
-29.348863,162,565.982713,False,False,True,False,False,0
-19.283799,604,572.305285,False,False,True,False,False,0
-41.362011,324,575.784254,False,False,True,False,False,0
-78.738439,582,581.975266,False,False,True,False,False,0
-98.082181,606,588.119527,False,False,True,False,False,0
-61.900231,376,592.171943,False,False,True,False,False,0
-13.893265,2000,613.047936,False,False,True,False,True,0
-42.82554,238,615.559929,False,False,True,False,False,0
-25.995322,117,616.685714,False,False,True,False,False,0
-23.260596,160,618.409891,False,False,True,False,False,0
-18.617549,941,628.377615,False,False,True,False,False,0
-166.802408,1067,639.594473,False,False,True,False,False,0
-45.865483,402,643.757317,False,False,True,False,False,0
-31.122188,228,646.270764,False,False,True,False,False,0
-142.593109,1081,659.050204,False,False,True,False,False,0
-64.13624,1034,669.913928,False,False,True,False,False,0
-13.200284,640,676.659091,False,False,True,False,False,0
-76.769826,501,681.949131,False,False,True,False,False,0
-56.729935,467,687.069591,False,False,True,False,False,0
-98.492089,752,694.82157,False,False,True,False,False,0
-24.385253,151,696.47598,False,False,True,False,False,0
-24.149404,73,697.269681,False,False,True,False,False,0
-14.27951,675,704.486479,False,False,True,False,False,0
-44.835421,427,708.868767,False,False,True,False,False,0
-50.998055,288,711.935683,False,False,True,False,False,0
-28.103476,1099,723.818957,False,False,True,False,False,0
-20.698243,803,732.143613,False,False,True,False,False,0
-24.452956,105,733.215329,False,False,True,False,False,0
-44.215627,893,742.537063,False,False,True,False,False,0
-45.100482,1098,753.929354,False,False,True,False,False,0
-23.908708,91,754.928995,False,False,True,False,False,0
-74.610882,675,762.035697,False,False,True,False,False,0
-121.874113,1231,774.875638,False,False,True,True,False,0
-99.577368,652,781.665667,False,False,True,True,False,0
-82.834971,907,791.00816,False,False,True,False,False,0
-63.415081,1037,802.228887,False,False,True,False,False,0
-129.934059,858,811.487931,False,False,True,False,False,0
-114.894942,821,820.396311,False,False,True,False,False,0
-72.031593,725,827.965979,False,False,True,False,False,0
-22.20235,85,828.933288,False,False,True,False,False,0
-47.729116,2000,849.616285,False,False,True,False,True,0
-32.929015,232,852.123317,False,False,True,False,False,0
-36.929644,345,855.617458,False,False,True,False,False,0
-71.842044,830,864.319972,False,False,True,False,False,0
-88.381721,832,872.935959,False,False,True,False,False,0
-92.740515,659,879.817679,False,False,True,True,False,0
-32.465822,355,883.415453,False,False,True,False,False,0
-17.589175,75,884.21463,False,False,True,False,False,0
-117.456925,1245,897.068954,False,False,True,True,False,0
-50.70504,652,903.640588,False,False,True,False,False,0
-117.969656,1931,923.703326,False,False,True,False,False,0
-86.96922,1692,941.485667,False,False,True,False,False,0
-34.801832,417,945.818345,False,False,True,False,False,0
-92.495156,599,951.95737,False,False,True,True,False,0
-83.71198,781,960.046422,False,False,True,False,False,0
-106.436722,914,969.747057,False,False,True,True,False,0
-27.661998,268,972.468421,False,False,True,False,False,0
-132.950429,1180,984.808741,False,False,True,False,False,0
-102.667186,728,992.390798,False,False,True,True,False,0
-154.452743,1302,1005.926163,False,False,True,False,False,0
-52.335834,232,1008.35022,False,False,True,False,False,0
-79.614561,834,1017.492109,False,False,True,False,False,0
-32.580668,564,1023.254879,False,False,True,False,False,0
-101.564266,837,1031.77061,False,False,True,False,False,0
-80.983817,403,1036.08728,False,False,True,False,False,0
-100.66117,639,1042.756535,False,False,True,False,False,0
-96.078403,1143,1054.489299,False,False,True,False,False,0
-31.19905,489,1059.574902,False,False,True,False,False,0
-56.673567,411,1063.933111,False,False,True,False,False,0
-105.162391,681,1116.919214,False,False,True,False,False,0
-83.349812,705,1124.564206,False,False,True,False,False,0
-35.257611,259,1127.224599,False,False,True,False,False,0
-124.703134,1319,1140.838139,False,False,True,True,False,0
-126.936631,989,1151.235764,False,False,True,False,False,0
-47.712951,287,1154.203678,False,False,True,False,False,0
-74.31497,421,1158.721112,False,False,True,True,False,0
-48.670639,247,1161.343256,False,False,True,False,False,0
-23.818183,411,1165.549146,False,False,True,False,False,0
-90.328999,907,1175.020833,False,False,True,False,False,0
-37.123131,249,1177.621281,False,False,True,False,False,0
-44.11878,287,1180.577498,False,False,True,False,False,0
-113.312473,674,1187.610442,False,False,True,True,False,0
-73.024081,575,1193.589081,False,False,True,False,False,0
-145.142441,1398,1208.13094,False,False,True,False,False,0
-19.401848,224,1210.52226,False,False,True,False,False,0
-114.231661,853,1219.350452,False,False,True,True,False,0
-66.76445,767,1227.251713,False,False,True,False,False,0
-61.588429,443,1231.98694,False,False,True,False,False,0
-119.239749,539,1237.62478,False,False,True,False,False,0
-98.696741,911,1247.169815,False,False,True,False,False,0
-100.635285,638,1253.756581,False,False,True,False,False,0
-101.329203,873,1262.67801,False,False,True,True,False,0
-112.292081,690,1269.908521,False,False,True,True,False,0
-62.46673,449,1274.61009,False,False,True,False,False,0
-32.145186,174,1276.35392,False,False,True,False,False,0
-97.784451,896,1286.12058,False,False,True,True,False,0
-58.14339,902,1295.584769,False,False,True,False,False,0
