#{"t_start": 1786496135.982428, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-11.950294,611,1234.528067,False,False,True,False,False,59,385,270,7,nominal
-15.978957,588,1247.93642,False,False,True,False,False,278,354,358,108,nominal
-15.482171,700,1264.253426,False,False,True,False,False,399,255,494,0,nominal
-480.977613,639,1279.601238,False,False,True,False,False,328,359,415,344,nominal
-542.172913,684,1295.132519,False,False,True,False,False,460,479,557,375,nominal
-24.567035,931,1316.026892,False,False,True,False,False,656,785,496,163,nominal
-16.679421,868,1335.868741,False,False,True,False,False,553,734,471,14,nominal
-76.194743,555,1348.291274,False,False,True,False,False,377,417,440,171,nominal
-119.733915,1076,1372.632825,False,False,True,False,False,637,716,981,326,nominal
-19.297759,938,1393.915916,False,False,True,False,False,567,577,409,66,nominal
-16.594588,812,1412.509112,False,False,True,False,False,369,401,364,50,nominal
-12.308326,866,1432.153731,False,False,True,False,False,0,779,370,0,nominal
-37.306925,867,1451.855894,False,False,True,False,False,226,590,680,206,nominal
-12.444323,605,1465.817219,False,False,True,False,False,272,327,339,80,nominal
-10.121182,399,1475.21069,False,False,True,False,False,0,238,380,0,nominal
-24.355298,752,1492.367749,False,False,True,False,False,350,651,417,157,nominal
-708.7154,1418,1524.27478,False,False,True,False,False,1014,1028,968,847,nominal
-380.021374,1081,1549.899,False,False,True,False,False,754,924,1035,505,nominal
-14.075254,414,1559.422854,False,False,True,False,False,291,369,285,101,nominal
-12.485741,537,1571.434532,False,False,True,False,False,275,448,359,0,nominal
-14.809132,387,1580.261435,False,False,True,False,False,106,374,308,24,nominal
-15.577998,490,1591.559558,False,False,True,False,False,133,408,309,0,nominal
-11.224079,343,1599.354426,False,False,True,False,False,0,109,291,0,nominal
-505.502038,498,1610.588153,False,False,True,False,False,319,359,377,271,nominal
-418.424687,666,1625.498133,False,False,True,False,False,457,124,372,219,nominal
-19.174573,673,1640.681297,False,False,True,False,False,264,556,426,94,nominal
-11.883854,625,1654.788134,False,False,True,False,False,432,341,337,104,nominal
-667.412582,1544,1689.84411,False,False,True,False,False,1049,998,1157,663,nominal
-119.272346,1257,1718.306198,False,False,True,False,False,1142,982,771,246,nominal
-9.904968,474,1728.895495,False,False,True,False,False,299,179,332,0,nominal
-14.55866,602,1742.518938,False,False,True,False,False,162,414,375,118,nominal
-11.186577,482,1753.356544,False,False,True,False,False,372,194,447,0,nominal
-11.08094,389,1762.27274,False,False,True,False,False,210,278,329,0,nominal
-36.716697,865,1781.596918,False,False,True,False,False,828,693,839,119,nominal
-325.634685,607,1795.280266,False,False,True,False,False,439,539,454,228,nominal
-840.681738,853,1814.507643,False,False,True,False,False,635,599,707,500,nominal
-431.547406,1245,1842.242334,False,False,True,False,False,1136,841,1001,477,nominal
-609.318442,554,1854.735252,False,False,True,False,False,498,472,500,480,nominal
-14.484393,472,1865.482728,False,False,True,False,False,401,289,448,133,nominal
-551.74882,553,1877.898623,False,False,True,False,False,467,413,408,285,nominal
-813.866573,836,1896.60843,False,False,True,False,False,564,423,736,478,nominal
-9.122405,362,1904.793297,False,False,True,False,False,144,199,343,0,nominal
-395.109399,1221,1932.627087,False,False,True,False,False,1175,995,734,537,nominal
-525.337965,714,1948.592606,False,False,True,False,False,613,494,627,374,nominal
-13.112896,696,1964.28068,False,False,True,False,False,322,604,481,0,nominal
-36.608373,545,1976.497127,False,False,True,False,False,474,198,354,240,nominal
