#{"t_start": 1786602476.118577, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-21.559674,69,1012.830696,False,False,True,False,False,0
-17.272184,47,1014.577474,False,False,True,False,False,0
-18.691898,100,1018.054355,False,False,True,False,False,0
-34.746669,173,1024.364595,False,False,True,False,False,0
-24.571152,105,1028.258773,False,False,True,False,False,0
-26.369313,363,1040.817087,False,False,True,False,False,0
-25.272057,155,1046.278635,False,False,True,False,False,0
-52.569459,140,1051.086053,False,False,True,False,False,0
-37.970227,324,1062.173803,False,False,True,False,False,0
-30.011945,96,1065.442665,False,False,True,False,False,0
-31.953163,129,1069.913336,False,False,True,False,False,0
-26.623915,176,1075.896974,False,False,True,False,False,0
-21.300975,63,1078.062163,False,False,True,False,False,0
-51.691798,130,1082.540717,False,False,True,False,False,0
-45.423344,123,1086.912635,False,False,True,False,False,0
-22.078628,49,1088.848729,False,False,True,False,False,0
-54.73403,109,1092.574458,False,False,True,False,False,0
-29.262929,234,1101.153143,False,False,True,False,False,0
-30.741552,131,1106.828521,False,False,True,False,False,0
-36.089871,128,1111.305838,False,False,True,False,False,0
-27.825884,132,1115.959611,False,False,True,False,False,0
-33.048998,174,1122.362231,False,False,True,False,False,0
-27.262815,91,1125.625771,False,False,True,False,False,0
-25.622837,84,1128.665341,False,False,True,False,False,0
-69.975407,65,1130.922203,False,False,True,False,False,0
-28.691746,66,1133.144697,False,False,True,False,False,0
-22.701216,101,1136.158893,False,False,True,False,False,0
-33.794952,136,1140.652637,False,False,True,False,False,0
-25.414474,164,1146.060398,False,False,True,False,False,0
-32.697795,135,1150.551886,False,False,True,False,False,0
-57.504372,192,1156.634122,False,False,True,False,False,0
-31.680227,208,1163.56986,False,False,True,False,False,0
-38.689286,131,1168.230342,False,False,True,False,False,0
-43.822022,200,1175.78064,False,False,True,False,False,0
-21.072885,137,1180.392695,False,False,True,False,False,0
-32.90883,70,1182.772142,False,False,True,False,False,0
-56.66678,106,1186.309271,False,False,True,False,False,0
-32.118629,197,1193.061274,False,False,True,False,False,0
-22.292037,59,1195.317943,False,False,True,False,False,0
-35.019462,230,1205.428548,False,False,True,False,False,0
-40.140453,77,1208.749417,False,False,True,False,False,0
-26.342789,125,1212.799004,False,False,True,False,False,0
-43.986542,232,1220.358771,False,False,True,False,False,0
-27.143599,132,1224.883459,False,False,True,False,False,0
-18.366228,80,1227.339962,False,False,True,False,False,0
-58.516241,141,1232.104953,False,False,True,False,False,0
-18.679158,72,1234.440149,False,False,True,False,False,0
-49.094043,93,1237.768506,False,False,True,False,False,0
-169.110033,189,1244.237566,False,False,True,False,False,0
-35.953005,288,1255.299722,False,False,True,False,False,0
-27.621098,197,1261.57036,False,False,True,False,False,0
