#{"t_start": 1786514344.3059127, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-48.467974,938,2576.20803,False,False,True,False,False,795,457,609,517,warmup
-43.562281,1145,2602.448691,False,False,True,False,False,439,660,718,414,warmup
-37.371874,1094,2627.424414,False,False,True,False,False,475,581,605,349,warmup
-38.483936,869,2646.706858,False,False,True,False,False,472,649,468,340,warmup
-49.728862,2000,2692.042953,False,False,False,True,False,1537,826,1484,568,warmup
-51.892285,1391,2723.312339,False,False,True,False,False,741,1150,989,715,warmup
-40.25234,813,2745.906268,False,False,True,False,False,485,320,465,380,warmup
-46.713376,1423,2779.66694,False,False,True,False,False,990,248,1003,597,warmup
-31.035811,779,2797.372742,False,False,True,False,False,294,0,450,190,warmup
-51.482559,1440,2830.509511,False,False,True,False,False,855,425,961,569,warmup
-46.382308,1236,2858.52063,False,False,True,False,False,572,923,584,426,warmup
-29.26627,694,2875.172321,False,False,True,False,False,148,495,488,104,warmup
-46.280948,1085,2899.283223,False,False,True,False,False,685,306,736,569,warmup
-38.683342,842,2918.206835,False,False,True,False,False,344,461,588,279,warmup
-45.718679,1117,2943.706556,False,False,True,False,False,627,822,790,465,warmup
-34.924328,853,2962.806723,False,False,True,False,False,322,622,559,269,warmup
-40.888665,947,2984.915394,False,False,True,False,False,421,662,681,395,warmup
-44.279432,1124,3010.064014,False,False,True,False,False,563,808,701,459,warmup
-34.604845,767,3027.447858,False,False,True,False,False,293,504,510,233,warmup
-36.968542,938,3048.467405,False,False,True,False,False,336,763,575,226,warmup
-40.206935,768,3065.980201,False,False,True,False,False,629,215,413,330,warmup
-40.328628,765,3083.454652,False,False,True,False,False,557,305,309,298,warmup
-50.24379,1231,3112.12409,False,False,True,False,False,701,996,544,351,warmup
-57.464561,1267,3140.655807,False,False,True,False,False,795,925,976,524,warmup
-39.600513,927,3161.865024,False,False,True,False,False,373,704,703,327,warmup
-31.495815,668,3177.255759,False,False,True,False,False,178,496,429,116,warmup
-70.833689,1802,3217.997489,False,False,True,False,False,1147,1459,999,444,warmup
-51.174931,1273,3246.769943,False,False,True,False,False,756,930,882,646,warmup
