#{"t_start": 1786364711.465195, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,episode_shell_outer_m,episode_target_tumble_scale
-15.385019,2000,2037.646012,False,False,True,False,False,False,0.057895714285714286,3.4052700000000002,0.25
-5.405406,1356,2058.851677,True,False,False,True,True,True,0.06075285714285714,3.42527,0.25
-3.180042,1050,2075.289753,True,False,False,True,True,True,0.06269,3.43883,0.25
-2.859863,633,2085.209217,True,False,False,True,True,True,0.06419,3.44933,0.25
-7.499779,2000,2116.748677,False,False,True,False,True,False,0.06509428571428572,3.45566,0.25
-23.025692,2000,2148.86508,False,False,True,False,False,False,0.06795142857142857,3.47566,0.25
-9.489741,2000,2181.323329,False,False,True,False,True,False,0.07080857142857143,3.49566,0.25
0.276825,732,2192.894304,True,False,False,True,True,True,0.07366571428571428,3.51566,0.25
-0.882875,619,2203.010432,True,False,False,True,True,True,0.07471142857142857,3.5229800000000004,0.25
-22.333966,2000,2236.343987,False,False,True,False,False,False,0.07559571428571428,3.5291699999999997,0.25
-29.20581,2000,2268.601702,False,False,True,False,False,False,0.07845285714285714,3.54917,0.25
-5.914602,1573,2293.939342,True,False,False,True,True,True,0.08131,3.56917,0.25
-35.896656,2000,2325.2596,False,False,True,False,False,False,0.08355714285714286,3.5849,0.25
-25.179761,2000,2356.418598,False,False,True,False,True,False,0.08641428571428571,3.6048999999999998,0.25
-7.66363,985,2371.34789,True,False,False,True,True,True,0.08927142857142857,3.6249000000000002,0.25
-8.724444,2000,2402.84062,False,False,True,False,True,False,0.09067857142857143,3.6347500000000004,0.25
-8.722066,1708,2428.954141,True,False,False,True,True,True,0.09353571428571429,3.65475,0.25
0.091385,670,2439.687574,True,False,False,True,True,True,0.09597571428571429,3.67183,0.25
-4.673077,1567,2464.279666,True,False,False,True,True,True,0.09693285714285714,3.67853,0.25
0.451944,437,2471.195473,True,False,False,True,True,True,0.09917142857142858,3.6942000000000004,0.25
-13.092548,2000,2502.813916,False,False,True,False,False,False,0.09979571428571428,3.69857,0.25
-24.278205,2000,2535.354144,False,False,True,False,False,False,0.10265285714285714,3.71857,0.25
-4.048345,1247,2555.312693,True,False,False,True,True,True,0.10551,3.73857,0.25
-17.438006,2000,2586.489572,False,False,True,False,True,False,0.10729142857142857,3.7510399999999997,0.25
-13.729961,2000,2616.468386,False,False,True,False,True,False,0.11014857142857143,3.77104,0.25
-12.112027,1277,2636.251507,True,False,False,True,True,True,0.11300571428571428,3.79104,0.25
-22.826912,2000,2666.547318,False,False,True,False,False,False,0.11483,3.8038100000000004,0.25
0.133477,252,2670.918643,True,False,False,True,True,True,0.11768714285714285,3.82381,0.25
-25.374634,2000,2702.308677,False,False,True,False,False,False,0.11804714285714285,3.82633,0.25
-8.682084,2000,2732.891969,False,False,True,False,True,False,0.12090428571428571,3.84633,0.25
-4.065344,1402,2762.369238,True,False,False,True,True,True,0.12376142857142858,3.86633,0.25
-4.20935,1030,2783.041476,True,False,False,True,True,True,0.12576428571428572,3.88035,0.25
-0.715345,556,2791.58056,True,False,False,True,True,True,0.12723571428571429,3.89065,0.25
-4.717706,843,2804.568024,True,False,False,True,True,True,0.12803,3.89621,0.25
-12.200433,2000,2836.591228,False,False,True,False,False,False,0.12923428571428572,3.90464,0.25
-3.266175,882,2849.729188,True,False,False,True,True,True,0.13209142857142858,3.92464,0.25
-2.928697,610,2858.552445,True,False,False,True,True,True,0.13335142857142857,3.9334599999999997,0.25
-2.545436,875,2872.765095,True,False,False,True,True,True,0.13422285714285714,3.93956,0.25
-3.17537,847,2884.825685,True,False,False,True,True,True,0.13547285714285714,3.94831,0.25
-4.722399,1395,2905.430184,True,False,False,True,True,True,0.13668285714285713,3.95678,0.25
-14.365832,2000,2936.50318,False,False,True,False,False,True,0.1386757142857143,3.97073,0.25
-11.620494,2000,2969.574964,False,False,True,False,True,False,0.14153285714285715,3.99073,0.25
-8.149292,1728,2999.009185,True,False,False,True,True,True,0.14439,4.01073,0.25
