#{"t_start": 1786681442.674876, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
3.69729,44,143.29934,True,True,True,False,False,0,0.015,False
-20.061661,157,145.220657,False,False,True,False,False,0,0.015,False
3.757023,48,145.877418,True,True,True,False,False,0,0.015,False
4.1196,31,146.219296,True,True,True,False,False,0,0.015,False
4.307334,24,146.481742,True,True,True,False,False,0,0.015,False
4.336945,18,146.699817,True,True,True,False,False,0,0.015,False
4.357311,21,146.940864,True,True,True,False,False,0,0.015,False
4.435881,28,147.242841,True,True,True,False,False,0,0.015,False
4.582927,16,147.421162,True,True,True,False,False,0,0.015,False
4.586579,19,147.620165,True,True,True,False,False,0,0.015,False
4.624773,20,147.928646,True,True,True,False,False,0,0.015,False
4.549255,20,148.189596,True,True,True,False,False,0,0.015,False
4.636706,18,148.399761,True,True,True,False,False,0,0.015,False
4.523827,18,148.623468,True,True,True,False,False,0,0.015,False
4.603505,19,148.884617,True,True,True,False,False,0,0.015,False
4.524808,25,149.259913,True,True,True,False,False,0,0.015,False
4.587579,20,149.510792,True,True,True,False,False,0,0.015,False
4.489422,29,149.812808,True,True,True,False,False,0,0.015,False
4.628333,28,150.146641,True,True,True,False,False,0,0.015,False
4.837188,16,150.316198,True,True,True,False,False,0,0.015,False
4.849166,16,150.502487,True,True,True,False,False,0,0.015,False
4.672332,28,150.816305,True,True,True,False,False,0,0.015,False
4.664787,24,151.092103,True,True,True,False,False,0,0.015,False
4.723215,27,151.437546,True,True,True,False,False,0,0.015,False
4.869701,19,151.624278,True,True,True,False,False,0,0.015,False
4.84297,22,151.901343,True,True,True,False,False,0,0.015,False
4.619496,30,152.227459,True,True,True,False,False,0,0.015,False
4.757825,27,152.527366,True,True,True,False,False,0,0.015,False
4.610467,32,152.894961,True,True,True,False,False,0,0.015,False
4.697668,19,153.12595,True,True,True,False,False,0,0.015,False
4.648346,18,153.351091,True,True,True,False,False,0,0.015,False
4.431477,27,153.651262,True,True,True,False,False,0,0.02,False
4.500534,29,153.981057,True,True,True,False,False,0,0.02,False
4.650216,34,154.390007,True,True,True,False,False,0,0.02,False
